Bra,1996-01-01,2020-12-31
Lcr,2019-01-01,2020-12-31
Vie,1996-01-01,2020-12-31
Dav,1997-01-01,2020-12-31
Lae,2004-01-01,2020-12-31
BK1,2004-01-01,2020-12-31
Lnz,2015-01-01,2020-12-31
RAJ,2012-01-01,2020-12-31
Stn,2010-01-01,2020-12-31
Hai,2000-01-01,2020-12-31
HoH,2015-01-01,2020-12-31
Hzd,2010-01-01,2020-12-31
Obe,2008-01-01,2020-12-31
RuW,2012-01-01,2020-12-31
Tha,1996-01-01,2020-12-31
Gds,2020-01-01,2020-12-31
Sor,1996-01-01,2020-12-31
Abr,2015-01-01,2020-12-31
LM1,2014-01-01,2020-12-31
LM2,2014-01-01,2020-12-31
Hyy,1996-01-01,2020-12-31
Ken,2018-01-01,2020-12-31
Let,2009-01-01,2020-12-31
Var,2016-01-01,2020-12-31
Bil,2014-01-01,2020-12-31
FBn,2008-01-01,2020-12-31
Fon,2005-01-01,2020-12-31
Hes,2014-01-01,2020-12-31
BFt,2019-01-01,2020-12-31
Cp2,2012-01-01,2020-12-31
Lav,2003-01-01,2020-12-31
Ren,1999-01-01,2020-12-31
SR2,2013-01-01,2020-12-31
Fy2,2015-01-01,2020-12-31
Fyo,1998-01-01,2020-12-31
Htm,2015-01-01,2020-12-31
Nor,2014-01-01,2020-12-31
Ros,2014-01-01,2020-12-31
Svb,2014-01-01,2020-12-31
